Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_IMDB,2,MPRW,,1,42,4540,0.0003,0.545168,0.934279,0.911824
HGB_IMDB,2,MPRW,,1,43,4470,0.0005,0.543085,0.931485,0.913176
HGB_IMDB,2,MPRW,,1,44,4526,0.0003,0.550143,0.931466,0.907432
HGB_IMDB,2,MPRW,,1,45,4486,0.0004,0.545923,0.934577,0.903041
HGB_IMDB,2,MPRW,,1,46,4458,0.0003,0.543904,0.930249,0.90473
HGB_IMDB,2,MPRW,,4,42,10680,0.0008,0.541734,0.990581,0.978716
HGB_IMDB,2,MPRW,,4,43,10562,0.0009,0.541199,0.99039,0.974324
HGB_IMDB,2,MPRW,,4,44,10592,0.0022,0.544898,0.989927,0.972297
HGB_IMDB,2,MPRW,,4,45,10662,0.0023,0.542682,0.990814,0.969932
HGB_IMDB,2,MPRW,,4,46,10664,0.0011,0.542407,0.990952,0.970946
HGB_IMDB,2,MPRW,,16,42,15532,0.0024,0.541102,0.99972,0.998986
HGB_IMDB,2,MPRW,,16,43,15446,0.0022,0.542722,0.999705,0.995946
HGB_IMDB,2,MPRW,,16,44,15572,0.0043,0.541866,0.999733,0.996959
HGB_IMDB,2,MPRW,,16,45,15496,0.0024,0.541724,0.999689,0.995946
HGB_IMDB,2,MPRW,,16,46,15510,0.0029,0.540854,0.999675,0.996959
HGB_IMDB,2,KGRW,4,1,42,9482,0.0026,0.541621,0.967543,0.958784
HGB_IMDB,2,KGRW,4,1,43,9674,0.0025,0.54579,0.966447,0.966554
HGB_IMDB,2,KGRW,4,1,44,9588,0.0025,0.543335,0.971839,0.958784
HGB_IMDB,2,KGRW,4,1,45,9508,0.0026,0.545188,0.969704,0.959459
HGB_IMDB,2,KGRW,4,1,46,9588,0.0025,0.544107,0.969462,0.960473
HGB_IMDB,2,KGRW,4,4,42,12068,0.0043,0.54207,0.994108,0.978716
HGB_IMDB,2,KGRW,4,4,43,12036,0.004,0.543421,0.994437,0.983784
HGB_IMDB,2,KGRW,4,4,44,12084,0.0072,0.543208,0.994137,0.981419
HGB_IMDB,2,KGRW,4,4,45,12092,0.0029,0.541926,0.994469,0.982095
HGB_IMDB,2,KGRW,4,4,46,12116,0.0057,0.543077,0.994071,0.984122
HGB_IMDB,2,KGRW,4,16,42,12148,0.0048,0.541353,0.995017,0.97973
HGB_IMDB,2,KGRW,4,16,43,12148,0.0063,0.542874,0.995636,0.983446
HGB_IMDB,2,KGRW,4,16,44,12148,0.005,0.543806,0.995354,0.981757
HGB_IMDB,2,KGRW,4,16,45,12148,0.0048,0.541879,0.995047,0.982095
HGB_IMDB,2,KGRW,4,16,46,12148,0.0051,0.54306,0.994428,0.984797
HGB_IMDB,2,KGRW,8,1,42,12702,0.0026,0.542351,0.987815,0.979392
HGB_IMDB,2,KGRW,8,1,43,12926,0.0041,0.545433,0.990316,0.984797
HGB_IMDB,2,KGRW,8,1,44,12850,0.0026,0.540605,0.989714,0.984122
HGB_IMDB,2,KGRW,8,1,45,12716,0.0033,0.542072,0.987153,0.980405
HGB_IMDB,2,KGRW,8,1,46,12822,0.0035,0.541434,0.988859,0.981419
HGB_IMDB,2,KGRW,8,4,42,14948,0.0051,0.541491,0.999592,0.997973
HGB_IMDB,2,KGRW,8,4,43,14964,0.0039,0.541795,0.9994,0.995946
HGB_IMDB,2,KGRW,8,4,44,14964,0.0035,0.541205,0.999404,0.997635
HGB_IMDB,2,KGRW,8,4,45,14948,0.0048,0.540491,0.999004,0.996622
HGB_IMDB,2,KGRW,8,4,46,14948,0.0039,0.540624,0.999062,0.99527
HGB_IMDB,2,KGRW,8,16,42,14996,0.0073,0.54155,0.999604,0.998311
HGB_IMDB,2,KGRW,8,16,43,14996,0.0069,0.541519,0.99959,0.995608
HGB_IMDB,2,KGRW,8,16,44,14996,0.0057,0.54134,0.999674,0.997973
HGB_IMDB,2,KGRW,8,16,45,14996,0.0058,0.540445,0.999151,0.996622
HGB_IMDB,2,KGRW,8,16,46,14996,0.0056,0.540605,0.999468,0.995946
HGB_IMDB,2,KGRW,16,1,42,14314,0.0025,0.540604,0.99422,0.986149
HGB_IMDB,2,KGRW,16,1,43,14548,0.003,0.543803,0.99589,0.990203
HGB_IMDB,2,KGRW,16,1,44,14458,0.0036,0.53955,0.996345,0.989865
HGB_IMDB,2,KGRW,16,1,45,14440,0.0038,0.540687,0.995669,0.988176
HGB_IMDB,2,KGRW,16,1,46,14396,0.0028,0.540413,0.995309,0.989527
HGB_IMDB,2,KGRW,16,4,42,16174,0.0035,0.540933,0.99996,0.999662
HGB_IMDB,2,KGRW,16,4,43,16206,0.0039,0.540889,0.999981,0.999662
HGB_IMDB,2,KGRW,16,4,44,16174,0.0069,0.540982,0.999889,0.999324
HGB_IMDB,2,KGRW,16,4,45,16206,0.004,0.540828,0.999955,0.999662
HGB_IMDB,2,KGRW,16,4,46,16206,0.0037,0.540868,0.999958,1.0
HGB_IMDB,2,KGRW,16,16,42,16206,0.0092,0.540887,0.999973,1.0
HGB_IMDB,2,KGRW,16,16,43,16206,0.0066,0.540889,0.999981,0.999662
HGB_IMDB,2,KGRW,16,16,44,16206,0.0063,0.541118,0.999954,0.999324
HGB_IMDB,2,KGRW,16,16,45,16206,0.0064,0.540828,0.999955,0.999662
HGB_IMDB,2,KGRW,16,16,46,16206,0.0108,0.540868,0.999958,1.0
